name: Yul Brynner         , street: Hertzel   , house:   3, appartment:   1, floor:   1
name: Julie Christie      , street: Hertzel   , house:   8, appartment:   9, floor:   4
name: Reese Witherspoon   , street: Weizmann  , house:  10, appartment:   8, floor:   3
name: Russell Crowe       , street: Dizengoff , house:   1, appartment:   3, floor:   2
name: Charlton Heston     , street: Hertzel   , house:   7, appartment:   7, floor:   3
name: Burt Lancaster      , street: Dizengoff , house:   9, appartment:   6, floor:   3
name: Paul Scofield       , street: Basel     , house:   7, appartment:   5, floor:   2
name: Louise Fletcher     , street: Hertzel   , house:   5, appartment:   5, floor:   2
name: Kathy Bates         , street: Basel     , house:   7, appartment:   2, floor:   1
name: Adrien Brody        , street: Dizengoff , house:   1, appartment:   6, floor:   3
name: Vivien Leigh        , street: Hertzel   , house:  10, appartment:   4, floor:   2
name: Hilary Swank        , street: Weizmann  , house:   4, appartment:   3, floor:   2
name: Jodie Foster        , street: Weizmann  , house:   8, appartment:   4, floor:   2
name: Eddie Redmayne      , street: Allenby   , house:   4, appartment:   6, floor:   3
name: George C. Scott     , street: Weizmann  , house:   9, appartment:   2, floor:   1
name: Susan Sarandon      , street: Weizmann  , house:   2, appartment:   4, floor:   2
name: Forest Whitaker     , street: Hertzel   , house:   6, appartment:   5, floor:   2
name: Holly Hunter        , street: Basel     , house:   5, appartment:   3, floor:   2
name: William Hurt        , street: Dizengoff , house:   4, appartment:   3, floor:   2
name: Shirley MacLaine    , street: Dizengoff , house:   8, appartment:   3, floor:   2
name: Simone Signoret     , street: Basel     , house:   2, appartment:   8, floor:   3
name: Matthew McConaughey , street: Hertzel   , house:   9, appartment:   9, floor:   4
name: Natalie Portman     , street: Allenby   , house:   4, appartment:   8, floor:   3
name: Marlee Matlin       , street: Allenby   , house:   5, appartment:   6, floor:   3
name: Henry Fonda         , street: Basel     , house:   4, appartment:   5, floor:   2
name: David Niven         , street: Basel     , house:   9, appartment:   7, floor:   3
name: Grace Kelly         , street: Weizmann  , house:   5, appartment:   8, floor:   3
name: Nicolas Cage        , street: Basel     , house:   5, appartment:   1, floor:   1
name: Gregory Peck        , street: Hertzel   , house:   8, appartment:   1, floor:   1
name: Richard Dreyfuss    , street: Weizmann  , house:   5, appartment:   1, floor:   1
name: Liza Minnelli       , street: Hertzel   , house:   6, appartment:   2, floor:   1
name: Gary Cooper         , street: Allenby   , house:   9, appartment:   3, floor:   2
name: Sean Penn           , street: Hertzel   , house:   8, appartment:   2, floor:   1
name: Elizabeth Taylor    , street: Basel     , house:   7, appartment:   9, floor:   4
name: Sidney Poitier      , street: Dizengoff , house:   5, appartment:   3, floor:   2
name: Frances McDormand   , street: Hertzel   , house:   2, appartment:   9, floor:   4
name: Anthony Hopkins     , street: Hertzel   , house:   7, appartment:   2, floor:   1
name: Anne Bancroft       , street: Hertzel   , house:   4, appartment:   6, floor:   3
name: Shirley Booth       , street: Dizengoff , house:   1, appartment:   4, floor:   2
name: Faye Dunaway        , street: Basel     , house:   5, appartment:   2, floor:   1
name: Charlize Theron     , street: Weizmann  , house:   4, appartment:   2, floor:   1
name: Art Carney          , street: Allenby   , house:   6, appartment:   6, floor:   3
name: Jeff Bridges        , street: Hertzel   , house:   5, appartment:   7, floor:   3
name: Patricia Neal       , street: Weizmann  , house:   6, appartment:   7, floor:   3
name: Paul Newman         , street: Hertzel   , house:   3, appartment:   9, floor:   4
name: Marion Cotillard    , street: Weizmann  , house:   5, appartment:   3, floor:   2
name: Cliff Robertson     , street: Dizengoff , house:   4, appartment:   1, floor:   1
name: Daniel Day-Lewis    , street: Hertzel   , house:   8, appartment:   5, floor:   2
name: Diane Keaton        , street: Basel     , house:   9, appartment:   8, floor:   3
name: Ingrid Bergman      , street: Dizengoff , house:   5, appartment:   1, floor:   1
name: Marlon Brando       , street: Weizmann  , house:   4, appartment:   5, floor:   2
name: Alec Guinness       , street: Dizengoff , house:   2, appartment:   2, floor:   1
name: Anna Magnani        , street: Weizmann  , house:   2, appartment:   8, floor:   3
name: F. Murray Abraham   , street: Dizengoff , house:   5, appartment:   8, floor:   3
name: Gene Hackman        , street: Basel     , house:   1, appartment:   5, floor:   2
name: Jessica Tandy       , street: Allenby   , house:   5, appartment:   5, floor:   2
name: Dustin Hoffman      , street: Hertzel   , house:   6, appartment:   3, floor:   2
name: Rex Harrison        , street: Hertzel   , house:   7, appartment:   9, floor:   4
name: Jessica Lange       , street: Hertzel   , house:   9, appartment:   3, floor:   2
name: Halle Berry         , street: Weizmann  , house:  10, appartment:   6, floor:   3
name: Robert Duvall       , street: Dizengoff , house:   9, appartment:   8, floor:   3
name: Jack Nicholson      , street: Basel     , house:   8, appartment:   6, floor:   3
name: Maximilian Schell   , street: Hertzel   , house:  10, appartment:   4, floor:   2
name: Michael Douglas     , street: Weizmann  , house:   5, appartment:   1, floor:   1
name: Jean Dujardin       , street: Hertzel   , house:   3, appartment:   5, floor:   2
name: Geoffrey Rush       , street: Basel     , house:   2, appartment:   2, floor:   1
name: Katharine Hepburn   , street: Allenby   , house:   8, appartment:   6, floor:   3
name: Jeremy Irons        , street: Dizengoff , house:   6, appartment:   2, floor:   1
name: Cate Blanchett      , street: Weizmann  , house:   1, appartment:   9, floor:   4
name: Julianne Moore      , street: Hertzel   , house:   4, appartment:   9, floor:   4
name: Robert De Niro      , street: Basel     , house:  10, appartment:   4, floor:   2
name: Sissy Spacek        , street: Allenby   , house:   4, appartment:   4, floor:   2
name: Emma Thompson       , street: Hertzel   , house:   5, appartment:   7, floor:   3
name: Audrey Hepburn      , street: Dizengoff , house:   1, appartment:   8, floor:   3
name: Ernest Borgnine     , street: Weizmann  , house:   7, appartment:   5, floor:   2
name: Denzel Washington   , street: Allenby   , house:   4, appartment:   6, floor:   3
name: Sophia Loren        , street: Allenby   , house:   6, appartment:   9, floor:   4
name: Lee Marvin          , street: Basel     , house:   9, appartment:   8, floor:   3
name: Jane Fonda          , street: Weizmann  , house:   4, appartment:   2, floor:   1
name: Julie Andrews       , street: Weizmann  , house:   1, appartment:   2, floor:   1
name: William Holden      , street: Dizengoff , house:   6, appartment:   8, floor:   3
name: Colin Firth         , street: Weizmann  , house:   6, appartment:   1, floor:   1
name: Jamie Foxx          , street: Weizmann  , house:   4, appartment:   8, floor:   3
name: Roberto Benigni     , street: Dizengoff , house:   9, appartment:   9, floor:   4
name: Geraldine Page      , street: Hertzel   , house:   8, appartment:   7, floor:   3
name: Susan Hayward       , street: Basel     , house:   9, appartment:   7, floor:   3
name: Al Pacino           , street: Allenby   , house:   1, appartment:   7, floor:   3
name: Sandra Bullock      , street: Hertzel   , house:   3, appartment:   4, floor:   2
